,patent_id,Grant-date,Appli-date,CPC,Inventor,Cited,Citing,year,month,month_year,Qt
1092946,4950599,1990-08-21,1987-01-29,A61K 47/48776 (20130101)+C12N 15/86 (20130101)+C12N 15/907 (20130101)+Y10S 435/948 (20130101)+C12N 2710/22023 (20130101)+C12N 2710/22042 (20130101)+C12N 2795/14122 (20130101)+C12N 2710/22022 (20130101),1.0,,39.0,1987,1,1987-01,1
1102751,4959317,1990-09-25,1987-04-29,C12N 15/00 (20130101)+C12N 15/907 (20130101)+C12N 15/81 (20130101),1.0,2.0,213.0,1987,4,1987-04,2
1448629,5272071,1993-12-21,1992-05-28,C12N 15/67 (20130101)+C12N 15/907 (20130101)+C12N 15/85 (20130101),1.0,1.0,238.0,1992,5,1992-05,2
1627553,5434065,1995-07-18,1993-05-06,C07K 14/255 (20130101)+C12Q 1/6897 (20130101)+C12N 15/52 (20130101)+C12N 15/62 (20130101)+C12N 15/907 (20130101)+C12N 15/1082 (20130101)+C07K 2319/00 (20130101)+C07K 2319/10 (20130101)+C07K 2319/80 (20130101),3.0,,24.0,1993,5,1993-05,2
1661589,5464764,1995-11-07,1993-02-04,C07K 14/47 (20130101)+C07K 14/50 (20130101)+C12N 15/907 (20130101)+C12N 9/1077 (20130101)+C12N 15/8209 (20130101)+C12N 15/8213 (20130101)+C07K 14/755 (20130101)+A01K 2217/05 (20130101)+A61K 48/00 (20130101),2.0,5.0,313.0,1993,2,1993-02,1
1665852,5468629,1995-11-21,1993-04-13,C12Q 1/6841 (20130101)+C12N 15/907 (20130101),1.0,9.0,10.0,1993,4,1993-04,2
1687705,5487992,1996-01-30,1993-06-28,C07K 14/47 (20130101)+C07K 14/50 (20130101)+C12N 15/907 (20130101)+C12N 9/1077 (20130101)+C12N 15/8209 (20130101)+C12N 15/8213 (20130101)+C07K 14/755 (20130101)+A01K 2217/05 (20130101)+A61K 48/00 (20130101),2.0,5.0,210.0,1993,6,1993-06,2
1714382,5512452,1996-04-30,1993-09-28,C07K 14/255 (20130101)+C12Q 1/6897 (20130101)+C12N 15/1082 (20130101)+C12N 15/52 (20130101)+C12N 15/62 (20130101)+C12N 15/907 (20130101)+C12N 15/1034 (20130101)+C07K 2319/00 (20130101)+C07K 2319/10 (20130101)+C07K 2319/80 (20130101),2.0,,3.0,1993,9,1993-09,3
1731536,5527674,1996-06-18,1994-05-02,C07K 14/415 (20130101)+C12N 15/1137 (20130101)+C12Y 207/01095 (20130101)+C12N 15/8213 (20130101)+C12N 15/907 (20130101)+C12N 15/8209 (20130101),2.0,,26.0,1994,5,1994-05,2
1750514,5545806,1996-08-13,1992-12-16,A01K 67/0276 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C07K 16/4291 (20130101)+C07K 16/44 (20130101)+C12N 5/163 (20130101)+C12N 15/00 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101)+C07K 2317/52 (20130101)+A01K 2217/00 (20130101)+A01K 2217/05 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+A01K 2267/03 (20130101)+A61K 38/00 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101)+A01K 2207/15 (20130101),2.0,2.0,1096.0,1992,12,1992-12,4
